Name,Ingredients,Making,Link,Garnish,Type
Trinidad Sour,"45 ml Angostura Bitters
30 ml Orgeat Syrup
22.5 ml Fresh Lemon Juice
15 ml Rye Whisky","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",https://iba-world.com/trinidad-sour/,N/A,IBA Official Cocktail list: IBA Cocktail
Barracuda,"45 ml Gold Rum
15 ml Galliano
60 ml Fresh Pineapple Juice
1 dash Fresh Lime Juice
Top up with Prosecco","Pour all ingredients into cocktail shaker except the Prosecco, shake well with ice, strain into chilled highball glass filled with ice and top up with Prosecco.",https://iba-world.com/barracuda/,"Pineapple and Cherry, optional mint sprig for additional aroma.",IBA Official Cocktail list: IBA Cocktail
Bloody Mary,"45 ml Vodka
90 ml Tomato Juice
15 ml Fresh Lemon Juice
2 dashes Worcestershire Sauce
Tabasco, Celery Salt, Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass.
Note:
If requested served with ice, pour into highball glass.",https://iba-world.com/bloody-mary/,"Celery, Lemon Wedge (Optional)",IBA Official Cocktail list: IBA Cocktail
Caipirinha,"60 ml Cachaça
1 Lime cut into small wedges
4 Teaspoons White Cane Sugar","Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients.
Note:
CAIPIROSKA – Instead of Cachaça use Vodka;",https://iba-world.com/caipirinha/,N/A,IBA Official Cocktail list: IBA Cocktail
Cosmopolitan,"40 ml Vodka Citron
15 ml Cointreau
15 ml Fresh Lime Juice
30 ml Cranberry Juice",Add all ingredients into a cocktail shaker filled with ice. Shake well and strain into a large cocktail glass.,https://iba-world.com/cosmopolitan/,Garnish with a lemon twist.,IBA Official Cocktail list: IBA Cocktail
Espresso Martini,"50 ml Vodka
30 ml Kahlúa
10 ml Sugar Syrup
1 strong Espresso","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",https://iba-world.com/espresso-martini/,N/A,IBA Official Cocktail list: IBA Cocktail
Gin Fizz,"45 ml Gin
30 ml Fresh Lemon Juice
10 ml Simple Syrup
Splash of Soda Water","Shake all ingredients with ice except soda water. Pour into thin tall Tumbler glass , top with a splash soda water.",https://iba-world.com/gin-fizz/,"Garnish with a lemon slice, optional lemon zest.",IBA Official Cocktail list: IBA Cocktail
Horse’s Neck,"40 ml Cognac
120 ml Ginger Ale
Dash of Angostura Bitters (optional)","Pour Cognac and ginger ale directly into a highball glass with ice cubes. Stir gently.
If preferred, add dashes of Angostura Bitter.",https://iba-world.com/horses-neck/,Garnish with a rind of one lemon spiral.,IBA Official Cocktail list: IBA Cocktail
Last word,"22.5 ml Gin
22.5 ml Green Chartreuse
22.5 ml Maraschino Luxardo
22.5 ml Fresh Lime Juice",Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,https://iba-world.com/last-word/,N/A,IBA Official Cocktail list: IBA Cocktail
Margarita,"50 ml Tequila 100% Agave
20 ml Triple Sec
15 ml Freshly Squeezed Lime Juice","Add all ingredients into a shaker with ice.
Shake and strain into a chilled cocktail glass",https://iba-world.com/margarita/,Half salt rim (Optional),IBA Official Cocktail list: IBA Cocktail
Mojito,"45 ml White Cuban Ron
20 ml  Fresh Lime Juice
6 pcs Mint Sprigs
2 tsp White Cane Sugar
Soda Water",Mix mint springs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.,https://iba-world.com/mojito/,Garnish with sprigs of mint and slice of lime.,IBA Official Cocktail list: IBA Cocktail
New York Sour,"60 ml Rye Whiskey or Bourbon
22.5 ml Simple syrup
30 ml Fresh lemon juice
Few Drops of Egg White
15 ml Red wine (Shiraz or Malbech)",Pour all ingredients into the shaker. Shake vigorously with ice.  Strain into a chilled rocks glass filled with ice. Float the wine on top.,https://iba-world.com/new-york-sour/,Garnish with lemon or orange zest with cherry.,IBA Official Cocktail list: IBA Cocktail
Paradise,"30 ml Gin
20 ml Apricot Brandy
15 ml Fresh Orange Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",https://iba-world.com/paradise/,N/A,IBA Official Cocktail list: IBA Cocktail
Porto Flip,"15 ml Brandy
45 ml Red Tawny Port Wine
10 ml Egg Yolk","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",https://iba-world.com/porto-flip/,Sprinkle with fresh ground nutmeg.,IBA Official Cocktail list: IBA Cocktail
Sea Breeze,"40 ml Vodka
120 ml Cranberry Juice
30 ml Grapefruit Juice",Build all ingredients in a highball glass filled with ice.,https://iba-world.com/sea-breeze/,Garnish with orange zest and cherry,IBA Official Cocktail list: IBA Cocktail
Spicy Fifty,"50 ml Vodka Vanilla
15 ml Elderflower Cordial
15 ml Fresh Lime Juice
10 ml Monin Honey Syrup
2 thin Slices Red Chili Pepper","Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.",https://iba-world.com/spicy-fifty/,Garnish with a red chili pepper,IBA Official Cocktail list: IBA Cocktail
Tipperary,"50 ml Irish Whiskey
25 ml Sweet Red Vermouth
15 ml Green Chartreuse
2 Dashes Angostura Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,https://iba-world.com/tipperary/,Garnish with a slice of orange.,IBA Official Cocktail list: IBA Cocktail
Vieux Carrè,"30 ml Rye Whiskey
30 ml Cognac
30 ml Sweet Vermouth
1 Bar Spoon Bénédictine
2 Dashes Peychaud’s Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,https://iba-world.com/vieux-carre/,Garnish with orange zest and maraschino cherry.,IBA Official Cocktail list: IBA Cocktail
